sku,image,small_image,thumbnail,_media_is_disabled,_media_attibute_id
A512206-5,/a/5/a512206-5_20.jpg,/a/5/a512206-5_20.jpg,/a/5/a512206-5_20.jpg,0,88
A512207-5,/a/5/a512207-5_20.jpg,/a/5/a512207-5_20.jpg,/a/5/a512207-5_20.jpg,0,88
A512208-5,/a/5/a512208-5_20.jpg,/a/5/a512208-5_20.jpg,/a/5/a512208-5_20.jpg,0,88
A51221-5,/a/5/a51221-5_20.jpg,/a/5/a51221-5_20.jpg,/a/5/a51221-5_20.jpg,0,88
A51224-5,/a/5/a51224-5_20.jpg,/a/5/a51224-5_20.jpg,/a/5/a51224-5_20.jpg,0,88
A51225-5,/a/5/a51225-5_20.jpg,/a/5/a51225-5_20.jpg,/a/5/a51225-5_20.jpg,0,88
A51226-5,/a/5/a51226-5_20.jpg,/a/5/a51226-5_20.jpg,/a/5/a51226-5_20.jpg,0,88
A51227-5,/a/5/a51227-5_20.jpg,/a/5/a51227-5_20.jpg,/a/5/a51227-5_20.jpg,0,88
A51228-5,/a/5/a51228-5_20.jpg,/a/5/a51228-5_20.jpg,/a/5/a51228-5_20.jpg,0,88
A51229-5,/a/5/a51229-5_20.jpg,/a/5/a51229-5_20.jpg,/a/5/a51229-5_20.jpg,0,88
A51204-5,/a/5/a51204-5_20.jpg,/a/5/a51204-5_20.jpg,/a/5/a51204-5_20.jpg,0,88
A51205-5,/a/5/a51205-5_20.jpg,/a/5/a51205-5_20.jpg,/a/5/a51205-5_20.jpg,0,88
A51206-5,/a/5/a51206-5_20.jpg,/a/5/a51206-5_20.jpg,/a/5/a51206-5_20.jpg,0,88
A51222-5,/a/5/a51222-5_20.jpg,/a/5/a51222-5_20.jpg,/a/5/a51222-5_20.jpg,0,88
A51223-5,/a/5/a51223-5_20.jpg,/a/5/a51223-5_20.jpg,/a/5/a51223-5_20.jpg,0,88
A51230-5,/a/5/a51230-5_20.jpg,/a/5/a51230-5_20.jpg,/a/5/a51230-5_20.jpg,0,88
A51231-5,/a/5/a51231-5_20.jpg,/a/5/a51231-5_20.jpg,/a/5/a51231-5_20.jpg,0,88
A51237-5,/a/5/a51237-5_20.jpg,/a/5/a51237-5_20.jpg,/a/5/a51237-5_20.jpg,0,88
A51238-5,/a/5/a51238-5_20.jpg,/a/5/a51238-5_20.jpg,/a/5/a51238-5_20.jpg,0,88
A51239-5,/a/5/a51239-5_20.jpg,/a/5/a51239-5_20.jpg,/a/5/a51239-5_20.jpg,0,88
A51240-5,/a/5/a51240-5_20.jpg,/a/5/a51240-5_20.jpg,/a/5/a51240-5_20.jpg,0,88
A51241-5,/a/5/a51241-5_20.jpg,/a/5/a51241-5_20.jpg,/a/5/a51241-5_20.jpg,0,88
A51242-5,/a/5/a51242-5_20.jpg,/a/5/a51242-5_20.jpg,/a/5/a51242-5_20.jpg,0,88
A51243-5,/a/5/a51243-5_20.jpg,/a/5/a51243-5_20.jpg,/a/5/a51243-5_20.jpg,0,88
A51244-5,/a/5/a51244-5_20.jpg,/a/5/a51244-5_20.jpg,/a/5/a51244-5_20.jpg,0,88
A51245-5,/a/5/a51245-5_20.jpg,/a/5/a51245-5_20.jpg,/a/5/a51245-5_20.jpg,0,88
A51246-5,/a/5/a51246-5_20.jpg,/a/5/a51246-5_20.jpg,/a/5/a51246-5_20.jpg,0,88
A51247-5,/a/5/a51247-5_20.jpg,/a/5/a51247-5_20.jpg,/a/5/a51247-5_20.jpg,0,88
A51248-5,/a/5/a51248-5_20.jpg,/a/5/a51248-5_20.jpg,/a/5/a51248-5_20.jpg,0,88
A51249-5,/a/5/a51249-5_20.jpg,/a/5/a51249-5_20.jpg,/a/5/a51249-5_20.jpg,0,88
A51250-5,/a/5/a51250-5_20.jpg,/a/5/a51250-5_20.jpg,/a/5/a51250-5_20.jpg,0,88
A51251-5,/a/5/a51251-5_20.jpg,/a/5/a51251-5_20.jpg,/a/5/a51251-5_20.jpg,0,88
A51252-5,/a/5/a51252-5_20.jpg,/a/5/a51252-5_20.jpg,/a/5/a51252-5_20.jpg,0,88
A51253-5,/a/5/a51253-5_20.jpg,/a/5/a51253-5_20.jpg,/a/5/a51253-5_20.jpg,0,88
A51254-5,/a/5/a51254-5_20.jpg,/a/5/a51254-5_20.jpg,/a/5/a51254-5_20.jpg,0,88
A51255-5,/a/5/a51255-5_20.jpg,/a/5/a51255-5_20.jpg,/a/5/a51255-5_20.jpg,0,88
A51256-5,/a/5/a51256-5_20.jpg,/a/5/a51256-5_20.jpg,/a/5/a51256-5_20.jpg,0,88
A51259-5,/a/5/a51259-5_20.jpg,/a/5/a51259-5_20.jpg,/a/5/a51259-5_20.jpg,0,88
A51260-5,/a/5/a51260-5_20.jpg,/a/5/a51260-5_20.jpg,/a/5/a51260-5_20.jpg,0,88
A51261-5,/a/5/a51261-5_20.jpg,/a/5/a51261-5_20.jpg,/a/5/a51261-5_20.jpg,0,88
A51262-5,/a/5/a51262-5_20.jpg,/a/5/a51262-5_20.jpg,/a/5/a51262-5_20.jpg,0,88
A51265-5,/a/5/a51265-5_20.jpg,/a/5/a51265-5_20.jpg,/a/5/a51265-5_20.jpg,0,88
A51232-5,/a/5/a51232-5_20.jpg,/a/5/a51232-5_20.jpg,/a/5/a51232-5_20.jpg,0,88
A51233-5,/a/5/a51233-5_20.jpg,/a/5/a51233-5_20.jpg,/a/5/a51233-5_20.jpg,0,88
A51234-5,/a/5/a51234-5_20.jpg,/a/5/a51234-5_20.jpg,/a/5/a51234-5_20.jpg,0,88
A51235-5,/a/5/a51235-5_20.jpg,/a/5/a51235-5_20.jpg,/a/5/a51235-5_20.jpg,0,88
A51236-5,/a/5/a51236-5_20.jpg,/a/5/a51236-5_20.jpg,/a/5/a51236-5_20.jpg,0,88
A51300-2,/a/5/a51300-2_78.jpg,/a/5/a51300-2_78.jpg,/a/5/a51300-2_78.jpg,0,88
A51203-2,/a/5/a51203-2_81.jpg,/a/5/a51203-2_81.jpg,/a/5/a51203-2_81.jpg,0,88
A51204-2,/a/5/a51204-2_81.jpg,/a/5/a51204-2_81.jpg,/a/5/a51204-2_81.jpg,0,88
A51304-2,/a/5/a51304-2_78.jpg,/a/5/a51304-2_78.jpg,/a/5/a51304-2_78.jpg,0,88
A51302-1,/a/5/a51302-1_78.jpg,/a/5/a51302-1_78.jpg,/a/5/a51302-1_78.jpg,0,88
A51206-6,/a/5/a51206-6_20.jpg,/a/5/a51206-6_20.jpg,/a/5/a51206-6_20.jpg,0,88
A51207-2,/a/5/a51207-2_81.jpg,/a/5/a51207-2_81.jpg,/a/5/a51207-2_81.jpg,0,88
A51301-2,/a/5/a51301-2_78.jpg,/a/5/a51301-2_78.jpg,/a/5/a51301-2_78.jpg,0,88
A51306-2,/a/5/a51306-2_78.jpg,/a/5/a51306-2_78.jpg,/a/5/a51306-2_78.jpg,0,88
A51216-2,/a/5/a51216-2_81.jpg,/a/5/a51216-2_81.jpg,/a/5/a51216-2_81.jpg,0,88
